"id","القرية","العزلة","المديرية","المحافظة"
14583,"كور","الاقروض","المسراخ","تعز"
14584,"هبه","الاقروض","المسراخ","تعز"
14585,"هجمه","الاقروض","المسراخ","تعز"
14586,"ورقه","الاقروض","المسراخ","تعز"
14587,"الكشرار","انبيان","المسراخ","تعز"
14588,"اللفج","انبيان","المسراخ","تعز"
14589,"ذي الشرح","انبيان","المسراخ","تعز"
14590,"ظهرة انبيان","انبيان","المسراخ","تعز"
14591,"الاجراف","جاره","المسراخ","تعز"
14592,"العقور","جاره","المسراخ","تعز"
14593,"الكداح","جاره","المسراخ","تعز"
14594,"الكسار","جاره","المسراخ","تعز"
14595,"جاره","جاره","المسراخ","تعز"
14596,"الاهواب","حصبان اسفل","المسراخ","تعز"
14597,"الجبجاب","حصبان اسفل","المسراخ","تعز"
14598,"الحبيشه","حصبان اسفل","المسراخ","تعز"
14599,"الدمنه","حصبان اسفل","المسراخ","تعز"
14600,"السحلوله","حصبان اسفل","المسراخ","تعز"
14601,"الصافح","حصبان اسفل","المسراخ","تعز"
14602,"الظهور","حصبان اسفل","المسراخ","تعز"
14603,"العارضه","حصبان اسفل","المسراخ","تعز"
14604,"العرض","حصبان اسفل","المسراخ","تعز"
14605,"العهار","حصبان اسفل","المسراخ","تعز"
14606,"القحفه","حصبان اسفل","المسراخ","تعز"
14607,"المحابيه","حصبان اسفل","المسراخ","تعز"
14608,"المحطه","حصبان اسفل","المسراخ","تعز"
14609,"المعسوق","حصبان اسفل","المسراخ","تعز"
14610,"المقيدحيه","حصبان اسفل","المسراخ","تعز"
14611,"حباب","حصبان اسفل","المسراخ","تعز"
14612,"حبيل جباء","حصبان اسفل","المسراخ","تعز"
14613,"حول السوق","حصبان اسفل","المسراخ","تعز"
14614,"دار الدرع","حصبان اسفل","المسراخ","تعز"
14615,"عريكبه","حصبان اسفل","المسراخ","تعز"
14616,"ففرة السناحي","حصبان اسفل","المسراخ","تعز"
14617,"الجرينه","حصبان اعلى","المسراخ","تعز"
14618,"الحنا","حصبان اعلى","المسراخ","تعز"
14619,"الصناع","حصبان اعلى","المسراخ","تعز"
14620,"العدن","حصبان اعلى","المسراخ","تعز"
14621,"العشيين","حصبان اعلى","المسراخ","تعز"
14622,"النبيرا العليا","حصبان اعلى","المسراخ","تعز"
14623,"النبيره السفلى","حصبان اعلى","المسراخ","تعز"
14624,"بئيس","حصبان اعلى","المسراخ","تعز"
14625,"مشرعه","حصبان اعلى","المسراخ","تعز"
14626,"خريشه السفلى","خريشه","المسراخ","تعز"
14627,"خريشه العليا","خريشه","المسراخ","تعز"
14628,"العقور","صنمات","المسراخ","تعز"
14629,"الكهلبي","صنمات","المسراخ","تعز"
14630,"المحفير","صنمات","المسراخ","تعز"
14631,"الموقع","صنمات","المسراخ","تعز"
14632,"الهياج","صنمات","المسراخ","تعز"
14633,"صنمات","صنمات","المسراخ","تعز"
14634,"النجيد","طالوق","المسراخ","تعز"
14635,"بني منصور","طالوق","المسراخ","تعز"
14636,"نارقه","طالوق","المسراخ","تعز"
14637,"الاورمه","عبدان","المسراخ","تعز"
14638,"الجيرات","عبدان","المسراخ","تعز"
14639,"الزوه","عبدان","المسراخ","تعز"
14640,"الموسطه","عبدان","المسراخ","تعز"
14641,"الميهال","عبدان","المسراخ","تعز"
14642,"الحجفه","عرش","المسراخ","تعز"
14643,"الدرادرية","عرش","المسراخ","تعز"
14644,"الكفوف","عرش","المسراخ","تعز"
14645,"المسراخ","عرش","المسراخ","تعز"
14646,"اكمة حبيش","مسفر","المسراخ","تعز"
14647,"الغفيرة","مسفر","المسراخ","تعز"
14648,"القرضين","مسفر","المسراخ","تعز"
14649,"الممشاح","مسفر","المسراخ","تعز"
14650,"الثوجن","وتير","المسراخ","تعز"
14651,"المحجاء","وتير","المسراخ","تعز"
14652,"المزهد","وتير","المسراخ","تعز"
14653,"المساجيد","وتير","المسراخ","تعز"
14654,"ذرحبه","وتير","المسراخ","تعز"
14655,"ظهره وتير","وتير","المسراخ","تعز"
14656,"عقن","وتير","المسراخ","تعز"
14657,"وادي العرش","وتير","المسراخ","تعز"
14658,"مدينة تعز","المظفر","المظفر","تعز"
14659,"الانبوة الاسفل","الانبوه الاعلى","المعافر","تعز"
14660,"الانبوه الاعلى","الانبوه الاعلى","المعافر","تعز"
14661,"المريقب","الانبوه الاعلى","المعافر","تعز"
14662,"شعب الذخري","الانبوه الاعلى","المعافر","تعز"
14663,"الاجبار","الجبزية","المعافر","تعز"
14664,"الحار","الجبزية","المعافر","تعز"
14665,"الحجر","الجبزية","المعافر","تعز"
14666,"العنيه","الجبزية","المعافر","تعز"
14667,"بني شداد","الجبزية","المعافر","تعز"
14668,"اذكار","السواء","المعافر","تعز"
14669,"اعرود الوادي","السواء","المعافر","تعز"
14670,"اعرود جبل","السواء","المعافر","تعز"
14671,"البطنة","السواء","المعافر","تعز"
14672,"الحبيل","السواء","المعافر","تعز"
14673,"الحجر","السواء","المعافر","تعز"
14674,"الحدية","السواء","المعافر","تعز"
14675,"الحمن","السواء","المعافر","تعز"
14676,"الخرائب","السواء","المعافر","تعز"
14677,"الخيامي","السواء","المعافر","تعز"
14678,"الزكاة","السواء","المعافر","تعز"
14679,"السلعية","السواء","المعافر","تعز"
14680,"الشراك","السواء","المعافر","تعز"
14681,"الشرف","السواء","المعافر","تعز"
14682,"الضبيعة","السواء","المعافر","تعز"
14683,"العارضه","السواء","المعافر","تعز"
14684,"العبلي","السواء","المعافر","تعز"
14685,"العنيبه","السواء","المعافر","تعز"
14686,"العين","السواء","المعافر","تعز"
14687,"القحفة","السواء","المعافر","تعز"
14688,"الكريبيه","السواء","المعافر","تعز"
14689,"المسالق","السواء","المعافر","تعز"
14690,"المشجب","السواء","المعافر","تعز"
14691,"المقربة","السواء","المعافر","تعز"
14692,"المكاشح","السواء","المعافر","تعز"
14693,"الملكة","السواء","المعافر","تعز"
14694,"النشمة","السواء","المعافر","تعز"
14695,"النقيع","السواء","المعافر","تعز"
14696,"الهوب","السواء","المعافر","تعز"
14697,"بريدة","السواء","المعافر","تعز"
14698,"بني السرور","السواء","المعافر","تعز"
14699,"جبل زيد","السواء","المعافر","تعز"
14700,"حيزومة","السواء","المعافر","تعز"
14701,"شباع","السواء","المعافر","تعز"
14702,"صناحيف","السواء","المعافر","تعز"
14703,"مقايبره","السواء","المعافر","تعز"
14704,"نجد المشرقي","السواء","المعافر","تعز"
14705,"هوب القرعي","السواء","المعافر","تعز"
14706,"وادي محجر","السواء","المعافر","تعز"
14707,"الانبوه","الشعوبــه","المعافر","تعز"
14708,"الجنح","الشعوبــه","المعافر","تعز"
14709,"الدير","الشعوبــه","المعافر","تعز"
14710,"الضهرة","الشعوبــه","المعافر","تعز"
14711,"العارضه","الشعوبــه","المعافر","تعز"
14712,"العوابل","الشعوبــه","المعافر","تعز"
14713,"الكنينه","الشعوبــه","المعافر","تعز"
14714,"الوحيز","الشعوبــه","المعافر","تعز"
14715,"جاحصة","الشعوبــه","المعافر","تعز"
14716,"خــوة","الشعوبــه","المعافر","تعز"
14717,"ذي هبيل","الشعوبــه","المعافر","تعز"
14718,"سوق الاحد","الشعوبــه","المعافر","تعز"
14719,"شعب حمران","الشعوبــه","المعافر","تعز"
14720,"شيصران","الشعوبــه","المعافر","تعز"
14721,"صران","الشعوبــه","المعافر","تعز"
14722,"عساب","الشعوبــه","المعافر","تعز"
14723,"كوكب","الشعوبــه","المعافر","تعز"
14724,"نخعان","الشعوبــه","المعافر","تعز"
14725,"الرهيوة","الصنــة","المعافر","تعز"
14726,"السميعة","الصنــة","المعافر","تعز"
14727,"بني حراف","الصنــة","المعافر","تعز"
14728,"بني زيد","الصنــة","المعافر","تعز"
14729,"بني يحى","الصنــة","المعافر","تعز"
14730,"قيه","الصنــة","المعافر","تعز"
14731,"البويب","الكلائبة","المعافر","تعز"
14732,"الساحليه","الكلائبة","المعافر","تعز"
14733,"الغفيرة","الكلائبة","المعافر","تعز"
14734,"القراع","الكلائبة","المعافر","تعز"
14735,"الكدام","الكلائبة","المعافر","تعز"
14736,"شباط","الكلائبة","المعافر","تعز"
14737,"الاسدوح","المشاولة","المعافر","تعز"
14738,"الانبوة","المشاولة","المعافر","تعز"
14739,"الحضن","المشاولة","المعافر","تعز"
14740,"الحناية","المشاولة","المعافر","تعز"
14741,"الخورة","المشاولة","المعافر","تعز"
14742,"السحيحـه","المشاولة","المعافر","تعز"
14743,"المسابله","المشاولة","المعافر","تعز"
14744,"المفاشقه","المشاولة","المعافر","تعز"
14745,"المناصره","المشاولة","المعافر","تعز"
14746,"المنبهه","المشاولة","المعافر","تعز"
14747,"حمورة","المشاولة","المعافر","تعز"
14748,"قعيطة الوادي","المشاولة","المعافر","تعز"
14749,"قعيطه الجبل","المشاولة","المعافر","تعز"
14750,"اخمور خارج","أخمور","المواسط","تعز"
14751,"اخمور داخل","أخمور","المواسط","تعز"
14752,"البهيم","الاعلوم","المواسط","تعز"
14753,"الذراع","الاعلوم","المواسط","تعز"
14754,"الزريبة","الاعلوم","المواسط","تعز"
14755,"بلابل","الاعلوم","المواسط","تعز"
14756,"شعب زريع","الاعلوم","المواسط","تعز"
14757,"عفيلة","الاعلوم","المواسط","تعز"
14758,"مقاشر","الاعلوم","المواسط","تعز"
14759,"الشعوب","الايفوع","المواسط","تعز"
14760,"الفوادع","الايفوع","المواسط","تعز"
14761,"المعمريه","الايفوع","المواسط","تعز"
14762,"الوهبنة","الايفوع","المواسط","تعز"
14763,"بني جابر","الايفوع","المواسط","تعز"
14764,"جرزبة","الايفوع","المواسط","تعز"
14765,"حزمان اسفل","الايفوع","المواسط","تعز"
14766,"حزمان اعلى","الايفوع","المواسط","تعز"
14767,"خره","الايفوع","المواسط","تعز"
14768,"سقمان","الايفوع","المواسط","تعز"
14769,"نحمة","الايفوع","المواسط","تعز"
14770,"وادي السلم","الايفوع","المواسط","تعز"
14771,"وادي عدن","الايفوع","المواسط","تعز"
14772,"البهمه","بني حماد","المواسط","تعز"
14773,"الحقيبة","بني حماد","المواسط","تعز"
14774,"الدائبة","بني حماد","المواسط","تعز"
14775,"العجيله","بني حماد","المواسط","تعز"
14776,"المعينه","بني حماد","المواسط","تعز"
14777,"المينام","بني حماد","المواسط","تعز"
14778,"بني حسن رعية","بني حماد","المواسط","تعز"
14779,"بني حسن وبني وجيه","بني حماد","المواسط","تعز"
14780,"بني سميع","بني حماد","المواسط","تعز"
14781,"بني سنان","بني حماد","المواسط","تعز"
14782,"بني عفيف","بني حماد","المواسط","تعز"
14783,"عزلة الجبال","بني حماد","المواسط","تعز"
14784,"يافق","بني حماد","المواسط","تعز"
14785,"اتاب","بني عباس","المواسط","تعز"
14786,"الاجـدالاسفل","بني عباس","المواسط","تعز"
14787,"الاجـدالاعلى","بني عباس","المواسط","تعز"
14788,"المحجر","بني عباس","المواسط","تعز"
14789,"المرافد","بني عباس","المواسط","تعز"
14790,"المشيريح","بني عباس","المواسط","تعز"
14791,"المنهي","بني عباس","المواسط","تعز"
14792,"النويدرة","بني عباس","المواسط","تعز"
14793,"حجافير","بني عباس","المواسط","تعز"
14794,"الاديرع","بني يوسف","المواسط","تعز"
14795,"الاكمة","بني يوسف","المواسط","تعز"
14796,"الدوم","بني يوسف","المواسط","تعز"
14797,"الذنيب","بني يوسف","المواسط","تعز"
14798,"الصلب","بني يوسف","المواسط","تعز"
14799,"العين","بني يوسف","المواسط","تعز"
14800,"القحاف","بني يوسف","المواسط","تعز"
14801,"المقصوص","بني يوسف","المواسط","تعز"
14802,"المناخ","بني يوسف","المواسط","تعز"
14803,"المناود","بني يوسف","المواسط","تعز"
14804,"اليبون","بني يوسف","المواسط","تعز"
14805,"برداد","بني يوسف","المواسط","تعز"
14806,"جرنات","بني يوسف","المواسط","تعز"
14807,"جنابة","بني يوسف","المواسط","تعز"
14808,"حجرة","بني يوسف","المواسط","تعز"
14809,"حصمة","بني يوسف","المواسط","تعز"
14810,"خرعسة","بني يوسف","المواسط","تعز"
14811,"خنازر","بني يوسف","المواسط","تعز"
14812,"شرار","بني يوسف","المواسط","تعز"
14813,"ضبع","بني يوسف","المواسط","تعز"
14814,"عقـــف","بني يوسف","المواسط","تعز"
14815,"قضع","بني يوسف","المواسط","تعز"
14816,"مشرفه","بني يوسف","المواسط","تعز"
14817,"اشروح بني علي","قــدس","المواسط","تعز"
14818,"اقروض اسفل","قــدس","المواسط","تعز"
14819,"الاحصون","قــدس","المواسط","تعز"
14820,"الاقروض","قــدس","المواسط","تعز"
14821,"الاهجوم","قــدس","المواسط","تعز"
14822,"البطنة","قــدس","المواسط","تعز"
14823,"الجاهلي","قــدس","المواسط","تعز"
14824,"الجند","قــدس","المواسط","تعز"
14825,"الحجر","قــدس","المواسط","تعز"
14826,"الحنحن","قــدس","المواسط","تعز"
14827,"الدخل","قــدس","المواسط","تعز"
14828,"الدمنات","قــدس","المواسط","تعز"
14829,"الذخف","قــدس","المواسط","تعز"
14830,"الذعــف","قــدس","المواسط","تعز"
14831,"الردع","قــدس","المواسط","تعز"
14832,"السادة","قــدس","المواسط","تعز"
14833,"السادة والدعيسه","قــدس","المواسط","تعز"
14834,"الصـويره","قــدس","المواسط","تعز"
14835,"الضياء","قــدس","المواسط","تعز"
14836,"الطي","قــدس","المواسط","تعز"
14837,"العسيره","قــدس","المواسط","تعز"
14838,"القحيفاء","قــدس","المواسط","تعز"
14839,"القطين","قــدس","المواسط","تعز"
14840,"المجينة","قــدس","المواسط","تعز"
14841,"المعامره","قــدس","المواسط","تعز"
14842,"المغدر","قــدس","المواسط","تعز"
14843,"المفالحه","قــدس","المواسط","تعز"
14844,"المكيشة","قــدس","المواسط","تعز"
14845,"النباهنة","قــدس","المواسط","تعز"
14846,"بني خرسان كفانة","قــدس","المواسط","تعز"
14847,"بني سعدان","قــدس","المواسط","تعز"
14848,"بني سعيد","قــدس","المواسط","تعز"
14849,"بني صالح","قــدس","المواسط","تعز"
14850,"بني صلاح","قــدس","المواسط","تعز"
14851,"بني مصطفي","قــدس","المواسط","تعز"
14852,"بني منصور","قــدس","المواسط","تعز"
14853,"بني هبة","قــدس","المواسط","تعز"
14854,"جوحان","قــدس","المواسط","تعز"
14855,"حلقان","قــدس","المواسط","تعز"
14856,"حمدان","قــدس","المواسط","تعز"
14857,"خصلة","قــدس","المواسط","تعز"
14858,"ذي البرع","قــدس","المواسط","تعز"
14859,"ذى الجمال","قــدس","المواسط","تعز"
14860,"رداع","قــدس","المواسط","تعز"
14861,"عصيده","قــدس","المواسط","تعز"
14862,"عمقان","قــدس","المواسط","تعز"
14863,"كريفة","قــدس","المواسط","تعز"
14864,"وادي العجب","قــدس","المواسط","تعز"
14865,"الحيمه","الاحيوق","الوازعيه","تعز"
14866,"الخنهه","الاحيوق","الوازعيه","تعز"
14867,"الصنمه","الاحيوق","الوازعيه","تعز"
14868,"الكربه","الاحيوق","الوازعيه","تعز"
14869,"المبذل","الاحيوق","الوازعيه","تعز"
14870,"الجريب","البوكره","الوازعيه","تعز"
14871,"الشباب","البوكره","الوازعيه","تعز"
14872,"العقده","البوكره","الوازعيه","تعز"
14873,"الغيل","البوكره","الوازعيه","تعز"
14874,"القمبرية","البوكره","الوازعيه","تعز"
14875,"قناهو بن علي","البوكره","الوازعيه","تعز"
14876,"وادي بكير","البوكره","الوازعيه","تعز"
14877,"السويداء","السويداء","الوازعيه","تعز"
14878,"الحجج","الظريفه","الوازعيه","تعز"
14879,"الحجيره","الظريفه","الوازعيه","تعز"
14880,"الحرثه","الظريفه","الوازعيه","تعز"
14881,"الزريبه","الظريفه","الوازعيه","تعز"
14882,"الزريره","الظريفه","الوازعيه","تعز"
14883,"الطور","الظريفه","الوازعيه","تعز"
14884,"الغريف","الظريفه","الوازعيه","تعز"
14885,"الغوبقه","الظريفه","الوازعيه","تعز"
14886,"الغيل","الظريفه","الوازعيه","تعز"
14887,"القاعده","الظريفه","الوازعيه","تعز"
14888,"القحفه","الظريفه","الوازعيه","تعز"
14889,"القشعه","الظريفه","الوازعيه","تعز"
14890,"حبوه المدد","الظريفه","الوازعيه","تعز"
14891,"حصيب القوبه","الظريفه","الوازعيه","تعز"
14892,"حصيب المهوق","الظريفه","الوازعيه","تعز"
14893,"وادي الموجع","الظريفه","الوازعيه","تعز"
14894,"الردف","المشاوله","الوازعيه","تعز"
14895,"الشقيراء","المشاوله","الوازعيه","تعز"
14896,"حنه السفلى","المشاوله","الوازعيه","تعز"
14897,"حنه العليا","المشاوله","الوازعيه","تعز"
14898,"شعبو","المشاوله","الوازعيه","تعز"
14899,"غيل الحاضنه","المشاوله","الوازعيه","تعز"
14900,"مبتعه","المشاوله","الوازعيه","تعز"
14901,"وادي المعقم","المشاوله","الوازعيه","تعز"
14902,"الحجاريه","بني الحكم","ذباب","تعز"
14903,"الحريقيه","بني الحكم","ذباب","تعز"
14904,"الحنجرة بدو رحل","بني الحكم","ذباب","تعز"
14905,"الدوش","بني الحكم","ذباب","تعز"
14906,"الرواع","بني الحكم","ذباب","تعز"
14907,"السويدا","بني الحكم","ذباب","تعز"
14908,"السيمال","بني الحكم","ذباب","تعز"
14909,"العرجوش","بني الحكم","ذباب","تعز"
14910,"العقه","بني الحكم","ذباب","تعز"
14911,"الفحيشيه","بني الحكم","ذباب","تعز"
14912,"الفحيشيه (بدو رحل )","بني الحكم","ذباب","تعز"
14913,"الكدحه","بني الحكم","ذباب","تعز"
14914,"المطرح","بني الحكم","ذباب","تعز"
14915,"جبل العمري","بني الحكم","ذباب","تعز"
14916,"جبل العمري -بدو رحل","بني الحكم","ذباب","تعز"
14917,"ذباب","بني الحكم","ذباب","تعز"
14918,"غريره","بني الحكم","ذباب","تعز"
14919,"واحجه","بني الحكم","ذباب","تعز"
14920,"جزيرة ميون","جزيرة ميون","ذباب","تعز"
14921,"العدف","البريهـــه","جبل حبشي","تعز"
14922,"العسلي","البريهـــه","جبل حبشي","تعز"
14923,"الموسطه","البريهـــه","جبل حبشي","تعز"
14924,"رابضــه","البريهـــه","جبل حبشي","تعز"
14925,"ضرجح","البريهـــه","جبل حبشي","تعز"
14926,"ضيه القريه","البريهـــه","جبل حبشي","تعز"
14927,"عناقب","البريهـــه","جبل حبشي","تعز"
14928,"احوال كريف","الحقل","جبل حبشي","تعز"
14929,"الجبال","الحقل","جبل حبشي","تعز"
14930,"الحقل","الحقل","جبل حبشي","تعز"
14931,"الخباه","الحقل","جبل حبشي","تعز"
14932,"الرباط","الحقل","جبل حبشي","تعز"
14933,"الشرف","الحقل","جبل حبشي","تعز"
14934,"العراعر","الحقل","جبل حبشي","تعز"
14935,"العرينه","الحقل","جبل حبشي","تعز"
14936,"الميدان","الحقل","جبل حبشي","تعز"
14937,"بير الدلو","الحقل","جبل حبشي","تعز"
14938,"شرح","الحقل","جبل حبشي","تعز"
14939,"عكاشة","الحقل","جبل حبشي","تعز"
14940,"هداره","الحقل","جبل حبشي","تعز"
14941,"وادي سعاده","الحقل","جبل حبشي","تعز"
14942,"الاحصاب","الشراجــه","جبل حبشي","تعز"
14943,"الاشروح","الشراجــه","جبل حبشي","تعز"
14944,"الحميدي","الشراجــه","جبل حبشي","تعز"
14945,"الذنبه","الشراجــه","جبل حبشي","تعز"
14946,"الزريبة","الشراجــه","جبل حبشي","تعز"
14947,"الضبات","الشراجــه","جبل حبشي","تعز"
14948,"العذير","الشراجــه","جبل حبشي","تعز"
14949,"العفيره","الشراجــه","جبل حبشي","تعز"
14950,"المشجب","الشراجــه","جبل حبشي","تعز"
14951,"المكازمه","الشراجــه","جبل حبشي","تعز"
14952,"حمره","الشراجــه","جبل حبشي","تعز"
14953,"حيجنه","الشراجــه","جبل حبشي","تعز"
14954,"صهبه","الشراجــه","جبل حبشي","تعز"
14955,"عرشان","الشراجــه","جبل حبشي","تعز"
14956,"عكاد","الشراجــه","جبل حبشي","تعز"
14957,"الركز","القحاف","جبل حبشي","تعز"
14958,"القشعه","القحاف","جبل حبشي","تعز"
14959,"النوازل","القحاف","جبل حبشي","تعز"
14960,"بني عامر","القحاف","جبل حبشي","تعز"
14961,"رهبه","القحاف","جبل حبشي","تعز"
14962,"وادي مكسب","القحاف","جبل حبشي","تعز"
14963,"ارابص","المراتبـــه","جبل حبشي","تعز"
14964,"الاحطوب","المراتبـــه","جبل حبشي","تعز"
14965,"البرحات","المراتبـــه","جبل حبشي","تعز"
14966,"الجند","المراتبـــه","جبل حبشي","تعز"
14967,"السعيد","المراتبـــه","جبل حبشي","تعز"
14968,"العراري","المراتبـــه","جبل حبشي","تعز"
14969,"الميهال","المراتبـــه","جبل حبشي","تعز"
14970,"بني جعفر","المراتبـــه","جبل حبشي","تعز"
14971,"حراز","المراتبـــه","جبل حبشي","تعز"
14972,"عصوان","المراتبـــه","جبل حبشي","تعز"
14973,"كزم","المراتبـــه","جبل حبشي","تعز"
14974,"الحجر","بلادالوافي","جبل حبشي","تعز"
14975,"الحدادين","بلادالوافي","جبل حبشي","تعز"
14976,"العنين","بلادالوافي","جبل حبشي","تعز"
14977,"الكدهيه","بلادالوافي","جبل حبشي","تعز"
14978,"بني خيله","بلادالوافي","جبل حبشي","تعز"
14979,"تبيشعه","بلادالوافي","جبل حبشي","تعز"
14980,"حجرمين","بلادالوافي","جبل حبشي","تعز"
14981,"قشيبه","بلادالوافي","جبل حبشي","تعز"
14982,"مكائر","بلادالوافي","جبل حبشي","تعز"
14983,"ميلات","بلادالوافي","جبل حبشي","تعز"
14984,"وهر","بلادالوافي","جبل حبشي","تعز"
14985,"الحداد","بني بكاري","جبل حبشي","تعز"
14986,"المقادحه","بني بكاري","جبل حبشي","تعز"
14987,"انم","بني بكاري","جبل حبشي","تعز"
14988,"تحيوه","بني بكاري","جبل حبشي","تعز"
14989,"مدهافه","بني بكاري","جبل حبشي","تعز"
14990,"الشارق","بني عيسى","جبل حبشي","تعز"
14991,"الشعيب","بني عيسى","جبل حبشي","تعز"
14992,"الظهر","بني عيسى","جبل حبشي","تعز"
14993,"العجف","بني عيسى","جبل حبشي","تعز"
14994,"الكدمه","بني عيسى","جبل حبشي","تعز"
14995,"المبهاء","بني عيسى","جبل حبشي","تعز"
14996,"المحشاء","بني عيسى","جبل حبشي","تعز"
14997,"بني مليك","بني عيسى","جبل حبشي","تعز"
14998,"نجد عقاب","بني عيسى","جبل حبشي","تعز"
14999,"وادي الاحمر","بني عيسى","جبل حبشي","تعز"
15000,"وادي البير","بني عيسى","جبل حبشي","تعز"
15001,"الجرف","عدينه","جبل حبشي","تعز"
15002,"الجند","عدينه","جبل حبشي","تعز"
15003,"الزواعي","عدينه","جبل حبشي","تعز"
15004,"المزبار","عدينه","جبل حبشي","تعز"
15005,"المنعم","عدينه","جبل حبشي","تعز"
15006,"عدينه","عدينه","جبل حبشي","تعز"
15007,"الحصن","وادي بني خولان","جبل حبشي","تعز"
15008,"المداهف","وادي بني خولان","جبل حبشي","تعز"
15009,"المربعه","وادي بني خولان","جبل حبشي","تعز"
15010,"المصلى","وادي بني خولان","جبل حبشي","تعز"
15011,"الميهال","وادي بني خولان","جبل حبشي","تعز"
15012,"النزيهه السفلى","وادي بني خولان","جبل حبشي","تعز"
15013,"النزيهه العليا","وادي بني خولان","جبل حبشي","تعز"
15014,"شمير","وادي بني خولان","جبل حبشي","تعز"
15015,"مشرفه","وادي بني خولان","جبل حبشي","تعز"
15016,"البحيح","يفرس","جبل حبشي","تعز"
15017,"الذنبه","يفرس","جبل حبشي","تعز"
15018,"الرجمه","يفرس","جبل حبشي","تعز"
15019,"قرحه","يفرس","جبل حبشي","تعز"
15020,"يفرس","يفرس","جبل حبشي","تعز"
15021,"البحره","الاثاور","حيفان","تعز"
15022,"التبينة","الاثاور","حيفان","تعز"
15023,"الحوادره","الاثاور","حيفان","تعز"
15024,"الخفينه","الاثاور","حيفان","تعز"
15025,"الرواجحه","الاثاور","حيفان","تعز"
15026,"الشجيفه","الاثاور","حيفان","تعز"
15027,"الصليحه","الاثاور","حيفان","تعز"
15028,"الفهيده","الاثاور","حيفان","تعز"
15029,"الكريحه","الاثاور","حيفان","تعز"
15030,"المولع","الاثاور","حيفان","تعز"
15031,"الهواديه","الاثاور","حيفان","تعز"
15032,"جااشع","الاثاور","حيفان","تعز"
15033,"عزيق","الاثاور","حيفان","تعز"
15034,"مقاشب الوادي","الاثاور","حيفان","تعز"
15035,"مقاشبة الجبل","الاثاور","حيفان","تعز"
15036,"البواديه","الاعبوس","حيفان","تعز"
15037,"التبيعة","الاعبوس","حيفان","تعز"
15038,"الجريده","الاعبوس","حيفان","تعز"
15039,"الدمنة","الاعبوس","حيفان","تعز"
15040,"الرام","الاعبوس","حيفان","تعز"
15041,"السوامره","الاعبوس","حيفان","تعز"
15042,"السيد","الاعبوس","حيفان","تعز"
15043,"الشرف","الاعبوس","حيفان","تعز"
15044,"العذير","الاعبوس","حيفان","تعز"
15045,"الفرعين","الاعبوس","حيفان","تعز"
15046,"الفضارم","الاعبوس","حيفان","تعز"
15047,"القرينه","الاعبوس","حيفان","تعز"
15048,"المحربي","الاعبوس","حيفان","تعز"
15049,"المرقب","الاعبوس","حيفان","تعز"
15050,"المشاوز","الاعبوس","حيفان","تعز"
15051,"الهجمه","الاعبوس","حيفان","تعز"
15052,"بني احمد حسيمه","الاعبوس","حيفان","تعز"
15053,"بني علي","الاعبوس","حيفان","تعز"
15054,"حارات","الاعبوس","حيفان","تعز"
15055,"دعان","الاعبوس","حيفان","تعز"
15056,"دومان","الاعبوس","حيفان","تعز"
15057,"زوقر","الاعبوس","حيفان","تعز"
15058,"ظبى","الاعبوس","حيفان","تعز"
15059,"غليبه","الاعبوس","حيفان","تعز"
15060,"معشر","الاعبوس","حيفان","تعز"
15061,"الانجود","الاعروق","حيفان","تعز"
15062,"البرح الاسفل","الاعروق","حيفان","تعز"
15063,"البرح الاعلى","الاعروق","حيفان","تعز"
15064,"الجيبال","الاعروق","حيفان","تعز"
15065,"الحباتره","الاعروق","حيفان","تعز"
15066,"السكارنه","الاعروق","حيفان","تعز"
15067,"الشريه","الاعروق","حيفان","تعز"
15068,"العدنه","الاعروق","حيفان","تعز"
15069,"العرين","الاعروق","حيفان","تعز"
15070,"الغبيب","الاعروق","حيفان","تعز"
15071,"القله","الاعروق","حيفان","تعز"
15072,"اللمس","الاعروق","حيفان","تعز"
15073,"المرار","الاعروق","حيفان","تعز"
15074,"المعزاج","الاعروق","حيفان","تعز"
15075,"النوبه","الاعروق","حيفان","تعز"
15076,"حرف الاعمور","الاعروق","حيفان","تعز"
15077,"ذواب","الاعروق","حيفان","تعز"
15078,"ذي سامر","الاعروق","حيفان","تعز"
15079,"عرار","الاعروق","حيفان","تعز"
15080,"قبع الضاع","الاعروق","حيفان","تعز"
15081,"قرض","الاعروق","حيفان","تعز"
15082,"مساهر","الاعروق","حيفان","تعز"
15083,"مقراءة","الاعروق","حيفان","تعز"
15084,"نجد النقوب","الاعروق","حيفان","تعز"
15085,"نطق","الاعروق","حيفان","تعز"
15086,"هجري","الاعروق","حيفان","تعز"
15087,"وعلان الاعشار","الاعروق","حيفان","تعز"
15088,"وعلان الصفيحه","الاعروق","حيفان","تعز"
15089,"الاشعاب","الاغابره","حيفان","تعز"
15090,"الحريم","الاغابره","حيفان","تعز"
15091,"الحيفا","الاغابره","حيفان","تعز"
15092,"العويضه","الاغابره","حيفان","تعز"
15093,"القبلة","الاغابره","حيفان","تعز"
15094,"النقيل","الاغابره","حيفان","تعز"
15095,"حيفان","الاغابره","حيفان","تعز"
15096,"عكابه","الاغابره","حيفان","تعز"
15097,"الاعموق","الشويفة","خدير","تعز"
15098,"الذنيب","الشويفة","خدير","تعز"
15099,"الفصور","الشويفة","خدير","تعز"
15100,"المشرق","الشويفة","خدير","تعز"
